obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""468.8191""","=""0.0020""","=""468.82148""","=""0.00003""","=""20""","=""""",,"=""18.63679156""","=""21.28064461""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""469.1580""","=""0.0020""","=""469.15832""","=""0.00011""","=""150""","=""""",,"=""18.69335943""","=""21.3353143""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""469.5363""","=""0.0020""","=""469.5348""","=""0.0011""","=""200""","=""""",,"=""18.71137667""","=""21.351213""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""469.6943""","=""0.0020""","=""469.69518""","=""0.00024""","=""50""","=""""",,"=""18.71137667""","=""21.3503118""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""470.0469""","=""0.0020""","=""470.04779""","=""0.00003""","=""50""","=""""",,"=""18.38162323""","=""21.01857880""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""470.25305""","=""0.00020""","=""470.25289""","=""0.00003""","=""1500""","=""1.62e+05""",C,"=""18.38162323""","=""21.01742872""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
"=""470.43949""","=""0.00004""","=""470.43948""","=""0.00003""","=""15000""","=""2.10e+06""",C+,"=""18.38162323""","=""21.01638327""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""470.88594""","=""0.00020""","=""470.88584""","=""0.00003""","=""12000""","=""3.26e+06""",C+,"=""18.38162323""","=""21.01388581""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L4498""",
"=""471.00650""","=""0.00020""","=""471.00638""","=""0.00003""","=""10000""","=""4.09e+06""",C+,"=""18.38162323""","=""21.01321219""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L4498""",
"=""471.04881""","=""0.00020""","=""471.04872""","=""0.00009""","=""300""","=""""",,"=""18.72638145""","=""21.3577339""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""471.20633""","=""0.00020""","=""471.20625""","=""0.00003""","=""15000""","=""""",,"=""18.55510805""","=""21.18558079""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
"=""471.21406""","=""0.00020""","=""471.21469""","=""0.00003""","=""150*""","=""""",,"=""18.55510805""","=""21.18553364""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
"=""471.21406""","=""0.00020""","=""471.21404""","=""0.00020""","=""150*""","=""""",,"=""18.72638145""","=""21.3568107""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""471.2800""","=""0.0020""","=""471.27983""","=""0.00016""","=""100""","=""""",,"=""18.70407118""","=""21.3341332""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""471.43397""","=""0.00020""","=""471.43386""","=""0.00003""","=""700""","=""""",,"=""18.55510805""","=""21.18431077""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""471.51248""","=""0.00020""","=""471.51239""","=""0.00003""","=""300""","=""""",,"=""18.61270528""","=""21.24147014""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""471.52580""","=""0.00020""","=""471.52539""","=""0.00004""","=""300""","=""""",,"=""18.55510805""","=""21.18380040""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L4498""",
"=""471.5344""","=""0.0001""","=""471.53441""","=""0.00003""","=""15000""","=""""",,"=""18.55510805""","=""21.18375011""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""",,"=""""","=""L7292""",
"=""471.76085""","=""0.00020""","=""471.76092""","=""0.00003""","=""700""","=""""",,"=""18.61270528""","=""21.24008531""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""472.15337""","=""0.00020""","=""472.15360""","=""0.00011""","=""700""","=""""",,"=""18.63679156""","=""21.2619865""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""472.2150""","=""0.0020""","=""472.2189""","=""0.0011""","=""50""","=""""",,"=""18.72638145""","=""21.351213""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""472.2714""","=""0.0020""","=""472.27198""","=""0.00025""","=""150""","=""""",,"=""18.72638145""","=""21.3509183""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""472.3810""","=""0.0020""","=""472.38115""","=""0.00025""","=""700*""","=""""",,"=""18.72638145""","=""21.3503118""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
